keys|values
bipartisanship.|1
haddis|1
#ban_amirliaquat|1
swal|1
significant|3
insurance.|2
prayed|1
analyze|1
discuss/host|1
maru|1
prevent|19
advertisement:the|1
roads|6
ferocity|1
indian.|8
vision|7
bahaviour|1
breaks,|1
hates.a|1
pt|4
handful|1
atleast.|2
usage|92
ismic|1
sectarianism(firq|1
anonymously|2
prohibiting|4
remove|312
vigilante|4
ulamahs|1
a/m|1
appreciate|27
achors|1
entities|24
winking|1
lazy|1
amongs|2
future.if|1
propogation|3
cintrovcontro|1
celebreties.|2
.speically|1
emman|6
finances|1
ktn|21
(even|1
this?.i|1
visible(|2
foster|1
(today|2
sectoral|4
promote|530
youtube!|5
order|205
asise|1
sextually|27
norms|92
post.|1
proofs.|14
supress|1
hour|11
parts|22
necks,|1
(due|1
channels....|2
ridiculing|21
nachaya|5
owners,|4
going|227
lieu|1
therefor|4
secteranism.|1
scold|2
propoganda.|1
suunis|1
march|16
childish|3
stamp|3
saza|3
talks.|5
always|562
khalil-ul-rehman|1
sending|11
remove/banned|1
channel\s|1
baisness.|2
promos|6
beleive|1
relavent|1
jacket.|1
really|181
ruthlessly|2
completely|228
gun|3
areas|5
poster|1
documentary|13
warrant,|2
sindh.every|1
investigation.|7
projecting|18
office|12
indain|12
speech?????|1
episode|103
60.|1
sexuality|10
firqa-wariyat|1
attention|159
khufia|124
sacrificed|1
desirable|1
gujrat|1
alaikm|1
conductance|2
frankness|1
kokanee|1
nuat|1
collar|1
ego..|4
site|6
realities.|2
8.54am|1
2)|50
lucman|1
enmy|1
parliament|2
obsecinty|5
programm.|3
khnazada..|2
paad|1
alaikum|30
orchestrated|1
incliding|1
pakistaby|1
rid|9
competion..speech|1
celebration|2
raha|11
hirtin|1
mongerers|1
theyd|1
showes,|1
sheikh|13
jzak|2
mohyuddin|1
subah|2
commiting|2
feelings.|37
inquiring|56
pwerful|1
like!|1
allahs|56
buy|6
ears|6
transaction|1
...why|2
case..|2
romance|10
practical|23
v.bad|1
teri|2
nawab|2
channels...|15
executioner.|5
essence|17
brakes|3
deadbody|1
least,|4
lengthy|1
ticker|20
ramadan..|3
gustakhaan|2
figure,|1
hyderabad|24
leveling|8
positive,|1
(so,|2
mistake|17
(debate|1
possiblem.|4
sects.ist|1
succeed|29
1-the|1
krty|2
penalty.|4
unsuccessful|1
weddings|4
https://m.youtube.com/watch?v=racffrwetw8|5
wariyaat.|1
ulma.|4
prey.|1
submit|22
alligible..|1
values...|3
intolerance.|13
army..they|1
ad.not|2
response|37
confession|2
namoos.e.risalat.|1
dramas.morning|3
information..|3
needful|8
requirements|1
rating...needs|1
harrased|5
written|72
parent|15
boys,|1
feedback.|1
chor|2
nude,|1
muslim?|1
coas,|1
mysterious|1
basic|115
#sairbeen|1
2015,|7
clip.in|1
afrasiab|1
politely|1
striving|2
resume|7
arose|4
chaotic|1
program..or|1
tunes|2
difddiffe|1
brother,|1
apis|4
ijaz|5
altogether|2
actor,|3
tensions.|1
proramme|1
better.|4
motives|3
pump|2
illegitimate|23
penalties..|1
designer|1
visible.|5
dawn|37
ulmaas|2
15(1)|1
alternates|15
hourly|13
soread|1
hain,|2
mama|1
tarik|1
greater|4
http://www.dailymotion.com/video/x5cwxvc_a-mother-from-lahore-cursing-nawaz-sharif-government_news|2
disagreements|1
led|18
...sindh|14
poori|37
anti-national|1
pl|22
secratarian|1
indian?|1
manner/tone)|1
faisal)who|1
retd.|1
matches????|1
resigned|5
bizz|1
arabic|2
mine|3
stay|14
reason?|1
educating|7
gobi|1
male.|3
leta|2
ghazali,|2
bolnews.|1
stuff?|2
liaquat...abd|1
neutral.|7
protesters|4
denominationalism,|1
keeling|1
lungs,|1
telcasting|1
thes|2
uncomplete|1
chenal.|2
realises|25
practise.|1
buletein??|1
culprits|27
dumb|4
concession|1
vain|1
hatred.|61
orignal|1
m/s|4
references.|1
tack|3
hataya|1
tolerated.kindly|2
fairly|5
commando|2
assasinate|1
planted,|1
ladhi|1
pratice|11
highlighting|118
progress.|1
news,geo|3
http://www.uteatralizowac.info/tag/zeby-czyste-zeby/|2
agaainst|1
brelvism|1
movies.why|1
debate|74
hajj.|4
shatter|1
tops|1
arabia.|2
liauqat|13
**recent|1
trha|1
directly,as|1
program,religious|3
bab|1
humayun|1
hajj|10
(hand|1
jago|21
state!!!|1
speach.|4
informational|5
decide|24
@aamirliaquat|1
deliver.|1
te|2
rejected,|1
donot|4
tittled|1
dances.|2
havnt|1
aisey|25
solution|16
cameras?|1
https://www.youtube.com/watch?v=tlj3d5wsa4a|2
pl...|2
appropriate|227
sentiments,|1
conflicting|5
final|4
ibaadah|1
nahiin|1
fruta|52
salam.|3
masaaliks,|1
sardi|20
makka|1
words.|119
factory|2
attached|34
proven|18
concern,|11
explicit.|1
h|14
orya.|1
7,|2
arranging|3
providing|31
remind|14
wall|3
@mjibrannasir|1
shiza:|1
mother...&|1
actoin|1
masjide|1
gazetteer|3
cause|585
..and|18
spelling.|16
betterment|18
30-11-17,|1
mujradance|1
service,|1
awareness?|1
controversial/|1
thrashed|1
referee|1
qureshi)|3
write|81
prophet.|13
nisa|8
mentally,|10
defamation|24
whatsoever,|1
blows|2
authority,|49
neglected.|1
itna.|1
viewed|12
immoral.the|1
intshar|2
unrest.|5
calls|22
army,isis|1
hurted.|1
judged|1
gilgit|20
languave|1
ishaq|1
dress.|15
independent.|1
exercise.|1
massod,|1
pakhtoon,|1
pakistanis...|1
#wariyt|1
back....|1
this...https://youtu.be/s6lvo0ybczc|1
sons.|1
plenty,|1
peak|7
termination|2
surveys|1
storngly|1
againts|16
regulatory|31
notified|4
lakh|1
sahiban|1
clearly.|1
outfits.|1
25-5-2018|1
aamir|1711
proof.will|1
inclined|1
noraani,|1
naik,|11
channel/program|1
kahani|41
disheartening|1
masses.|15
woman)|1
3500|28
(chewing|6
this,|24
liars,|3
parvez|1
gustak|2
quack|1
psl|26
compromising|1
fasadat|2
futhermore,|1
stumbled|1
streammings|1
spreding|9
r.|3
(act-aug,2015|1
ended.|1
brothel|2
8:10|1
agg|1
createing|1
lodhir|1
imidiate|2
ensuing|1
spilked|1
abbtak,|1
allah..|1
secetriasm|1
kay|87
leaking|2
day?|1
ganged|1
helpline|1
telefilm,|1
100%|3
tribe.|43
pukhtoons.|2
dearest|2
height|54
nikah.|2
scp|1
holistic|1
http://insightpk.com/videos/viral/2018/05/24/aamir-liaquat-boycott-bol-ramzan-transmission-during-live-show|1
isay|1
fukin|1
unite..so|1
(ahl|1
problem.|3
himself!|1
kiaqat|2
amirl|1
biased|131
attributes|1
retired|8
didnt|126
redicals.|1
speaker|10
skirt.|1
miscreant|3
content.as|1
pictures.|2
imidetly|1
proper.|2
hell|64
liyee|1
sectorial|1
pulled|3
prodouce|1
fanatics.|1
wording.|2
system.|24
off-air.|1
lawsuit|1
commode,|21
question..so|1
solution,|2
muqabil|6
minarets|1
laat|1
madhab.|1
worng.|1
worthless|3
admedi|1
24/01/2017|5
attention.|4
fines.|1
sweeping|1
tariq.|2
lyrics|2
program.if|1
mir,shahzaib|1
requested|275
iaquat|1
mulhid|5
http://www.tvguidelines.org/ratings.htm.|1
themselve|2
(abt|1
nike|2
financially.|2
values....now|1
no.144,|1
aaeen|1
user|1
pollution,|13
theories|1
automatically|2
khan,|57
thnks|1
akram|8
following?|1
laqiat|2
biltistan|1
already.please|1
did.|8
jigalow|2
mazhbi|1
little|123
bol|2511
day|246
agenda..|1
empty|1
alienation.|11
conspirancy|1
bol...by|1
news(up|1
demanded|6
injurious|1
tvs|23
shunning|1
specaily|2
amazing|1
newss|4
inappropriate,|5
flaring|1
scourge|1
quaid-e-azama|1
..aman|1
pakistanis,pls|1
dubai|8
againest|3
liuqat|1
demaging|1
tammam|1
alh|4
deliberately|72
sensationalisation.|1
8,|1
musical|45
openly.|3
curtailing|1
peemra|1
battle|2
earlier.|3
creams|1
entertainer.|1
closed...so|1
villages|5
soaps|31
allegations..|1
someone|130
fought|4
moments|4
insuktins|1
brad|1
games|32
10000|1
rasm-e-dunya|1
sustain|2
kikab|1
thought.|8
hope.kindly|1
part.|3
discrimination.anchor|1
outlets,|1
compliant|3
ill|32
regards.|13
cheated|1
farooqon|1
friendships|2
seekers|5
0345|1
sensation|9
stealing.|1
wesetern|1
intervals|6
baat.|11
tv?|2
black.|2
prejudice.|2
strenghthen|1
https://www.youtube.com/watch?v=7rwhsipruqa&t=34s|1
ridicules|5
channel.plz|1
assassination,|40
responsible|186
privilege|2
bakwaas|1
doctors|29
hyper-nationalism|1
loose|5
luckily,|1
liaqat...|5
knw|1
liquat.shukria|1
shot|12
position.|5
charged|36
enimies.|1
shiekh|1
wtf|1
inspire|2
unmodest|1
faisal.on|1
person.whatever|1
fara|1
differences|85
also|1733
eman|4
patroit.|1
it,|9
tobacco|1
bella.|1
kokb|2
provoker|1
ani|1
consent,|1
00971559992951|2
knavish|2
allegatation|1
anyways.all|3
ramzaan.|1
nap|5
firqah|3
againg|1
shekeel|1
opened|3
sidraa|2
circumstances,|2
nationalism)|1
parents|46
end.|5
helding|1
liaqat....it|1
fresh|10
sir:|20
engineered|1
conspiracy|37
(icap)|1
customs.|4
farooqis|1
commentators|1
exaggeratedly|1
qurban|4
07|4
woman|193
sperad|2
courts.i|1
ran|8
prostitute.|2
ubiversity.|27
degradation.|1
isis|3
ulamas,|1
variyat|2
accuses|12
thanks,|7
therw|2
drammas|1
hide|16
sindh)|3
message.|2
hai...|1
joe|1
too.|71
0lease|1
lrogramm|1
officials,|6
paw|2
prime|134
fight.|10
nurani|7
mutazalzal|1
taunting|3
grounds:|1
sary|1
namoos|71
familys|6
babar|8
viewpoint.|1
khufya|9
policy,geo|1
binna|1
grief,|1
evidence.after|1
blasmphers|5
tarnishing|8
interruptions...|1
tempered|1
may,|16
rib|5
giveaways.|3
videos..they|1
10:55|1
highvocals,please|1
syestm|1
comprehensively|1
minds.it|1
catalyst|6
scholor.i|1
not.|20
(2)|1
indicates|1
palay|1
ex-student|1
air?|2
muslims..many|1
speeading|1
(as)|1
alao|1
undertand|1
op|3
judge|16
culprit|31
#onebody|1
trigger|7
preaching.|1
judge,|3
bigar|1
disstress|1
isnt|45
iqraam|1
withold|1
lain|1
tribel...|1
liqat,|1
host.|31
minus|1
careful|19
couple.|2
cold|5
isi|56
prgm|2
/madam.|2
this.|218
wealth,|1
menthioned|1
mentor|2
neighbor|3
properly.|30
lobbing|3
ispr|4
fair...|10
affronted.a|1
icon|3
qureshi.|15
maybe|9
possibility|3
agress|1
,mostly|1
off-air|6
skta,|1
yur|2
lodhi,immoral|1
3(f),|2
critising|2
couple|33
ulama)|1
chewing|9
bussines|2
asa|4
apprise|1
noor|4
livetv|1
protection.|1
there.|17
damage/destroy|1
dismiss|3
reacts|2
22/2/2017|1
telecasts|7
status,|1
justifying|1
lack|13
stuff....|2
sbp|1
body(liars).|1
artist.|2
arousing|4
approximately|30
pushton|1
cuptur|1
(ban|2
oscenity|1
dissolve|1
...such|1
illiterate!|1
leat|1
gangsters....|1
evidence...|2
warna|3
copy|45
ahmadi|2
advertisemet|2
faisal.just|1
(internal|1
feedback|7
chalygaabout|1
....please|1
sashir|2
rationality|1
muslim.i|2
to.|7
ogram|1
qabila.|1
husain?|1
host(aamir|1
anneccery|1
liaqat,|96
sabir|5
places|9
din.|2
+18|1
crrunt|1
choas|6
describes|2
bane|62
unethical|246
feb,|4
allowed???|2
monrth|1
fata|5
dangerona|1
dramas,|102
nazar-e-bad|1
alway|6
30,|1
pieces.|1
limits|90
people!please|1
content,|28
donning|1
hussaian|1
wives|64
khleel|1
attampt|1
forcefully.|1
journalists.|3
snakes|2
proportion|3
sexually|17
rawaj|1
sharing|17
much|304
faisal.it|1
encouarge|2
suspends|1
westerns.|6
tormented|1
craves|1
lair|1
thought.....|1
apologise,|1
roads.|2
#aisaynahichalayga...|1
finned.|1
soread.|1
absurd|16
army!|1
1,|24
injuring|28
throug|1
unbeleiveable.|1
rakhbe|1
censored|2
30-03-2018|1
opology|2
vulgurity|1
khabarnak|3
saying...|1
knowldge|2
name-calling.|1
furthermore|5
ceremony|1
films,|2
opposed|1
caring|2
action/complaint/fir|1
folks.|5
talwar|6
!|51
pasha|6
silence.|5
dubber|2
immedietly|2
potentially|50
antina.or|1
aslam.|3
respond|14
kgs!|1
tham...|1
sectism.|3
observing|4
constraints|2
astraying|7
religion-|1
rules|434
liaqut,kokab|1
thing,|2
lesbian|12
irrespective|2
sympathies|1
obscenity.|4
understanding,|1
note|43
ary|311
zaarah|1
errands|1
peacentre|1
hazardous|1
prejudices|2
endandering|1
faisal|257
1845|1
kaba.the|1
track,|1
labelling|16
abbasis|2
dean|1
etc,|2
runs|8
jubaid|1
qadri.|1
islam.plz|3
stereotypical|2
reporting|126
dushman|7
uttering|2
bc|11
watching,|1
thx|1
tommorrow|1
pukaar|4
thoroughly;|1
payable|1
vocal|1
lyaqat|8
broadcats|2
insensitive|16
ibto|1
disturbing!|1
reopen|2
secterizem|1
themselves?|2
girls.sahir|1
harpec|1
humtv.|1
eunuch|4
contained|14
shia|27
want..i|1
waseem|18
criminals.|9
rasool*.|1
apologize|131
sensitive|118
bottle|25
ethnicities.|17
&tamoor|1
expresa|1
genaral|1
channel!!!!!|1
show(ap|1
shameless,|3
pr-eplaned|1
families,|3
maqamat|1
breching|1
sahir.provoking|2
condum|1
maligning|41
peaceful,|1
elegation|1
shoa|3
amr|2
childrens|54
adopt|7
5.8.2018|1
currently|28
ascertain|1
sahb,|2
donations,|1
apologize.|6
seed|1
compalint|2
intermingling|1
dusri|1
agents.|2
didn,t|1
behalf,|1
biasesd|1
voided|1
violence!|3
ristricted|1
disorder|1
rant|2
ship|1
laliga.|1
.these|2
premises.|2
notify|11
matlab|1
itehad|1
restlessness|2
ms|5
farqa.|1
january,|9
disproven|1
settlement.|5
irrational|5
https://www.youtube.com/watch?v=ef52gx8ws5c|1
kharmong|1
web.|1
haraas|1
connect|2
brain|12
pakhtoons|4
(saddar|2
involved,|1
.bok|1
nreyork|1
appointment|1
https://www.facebook.com/karachialerts/videos/789056441186702/?hc_ref=search|1
secatrisom|1
welfare|47
hopes|3
aubbtak|2
somtimes|1
nikkah.|3
up,|1
time.we|1
26/11/17|1
ahlehadith).there|1
disobidient|3
sensitize|1
jamhuria|1
https://www.facebook.com/mubeenthemustacheman/?hc_ref=newsfeed&fref=nf#|2
etc..)|1
mannered|2
detailed|6
screened|1
asap|49
sponsored|3
start|216
dupes|1
commented|1
throughness.|1
lost.|1
homosexuality|16
girl&guy|1
slandered|1
bhatt|3
sact|1
sallalaho|4
firqawaryt......|1
hype.|2
speically|1
forever.|41
significantly|1
hamari|8
humaima|2
of.|1
identity.|5
transmission??|3
abdoutqari|1
derby|2
appas|5
markedly|2
http://www.dailymotion.com/video/x5ddgnu_maine-aaj-apne-shohar-ko-see-what-talk-is-going-on-in-a-live-show_news|1
https://www.facebook.com/iirc.madinah/videos/1724693864277950/|3
nauzubilah|5
former|28
channet|1
santimens.|1
propagation.|2
girls..|2
contraceptive|2
ahmed|20
deserve....thanks..video|1
and.political|1
game...|1
blast.|12
big|249
(indian|3
supervision|6
aesy|16
objectives.|6
rating.in|1
annalise|1
made....n|1
prograam|5
https://www.youtube.com/watch?v=emyjspxer-s|1
unrealistic.|1
vulgure|9
toffee|2
oman|1
asad--ur-rehman|1
dares|3
nazil|1
5.0|1
organized|6
these.thank|1
elh.|1
statements|66
strongest|3
krny|3
pinched|1
represents|2
https://twitter.com/waseembadami/status/935647865673789440|1
hav|2
langar.|1
liaqat//|1
complain.|6
initation|2
absue|1
man,|2
peoples.please|1
hyperlink|2
,,|1
later|38
laiqayat|1
activistswith|1
daughter|22
responcible|1
strike|4
original,|1
bucket|1
language,against,respected|1
almost|368
kindy,|1
histirical|1
crowd.|4
outlet,|1
panic|19
viedo.|1
falsifying|1
assassinations|10
film/movies|1
furthering|1
violences|1
(comsats).|1
articulate|2
them?!|1
steps|69
hasan|2
mansplained|2
nazar-e-bad.|1
oppression|1
aspect.|13
doc.amir|1
saver|1
honor.|2
ministers|1
accroding|4
kala|1
=7.50pm|4
/orders|1
11pm|7
shame!!|1
wanna|17
identity...|7
anymore|14
throws|1
what?|8
frog|1
jain.|1
pseudo|2
prepaired|1
patients.|1
situtaion|1
upseting|9
throat|1
unciviled|2
ir|4
9:00pm|1
sajjad|4
cute|3
faizan|1
discoveries|4
peoples|202
stereotypes|2
fuss|8
banned,|31
transmittion...|4
anckers|1
n2e3l1|1
tatoos|1
reading|19
v.happy|4
suggestion.....but|3
pashtoons|13
henious|3
preventing|1
#banamirliaqaut|2
entire|78
hours|14
view|130
headaches|1
rehmtullah|1
pushing|5
valour|1
parade,|1
conversational|1
provoking,|1
politically,|1
fb.com/bolnetwork/videos/vl.1768716426484576/1582869521823979/?type=1|1
practised.|1
stating|9
initiated.|1
tayyab|1
ad|848
ahley|50
double|25
animals|3
2.|172
hilarious!|2
ever|175
sprearding|1
ccey|2
cringeworthy.|1
huamn|5
transmidsion|1
show.|474
3.|106
moin|1
11,|1
asay|1
shot.|4
nurani,hanif|1
passport.|2
mal|1
all..|3
jaye.|1
dull|29
level.|5
i,ll|1
(waziristan).|1
plan,|1
friends|10
descriptions|1
maslik.he|1
belonged|2
walks|1
map|9
sehri|22
lagani|1
vreacrea|1
leaked|31
rapidly.|1
honored|2
muqabil,|1
reputation|66
dance,|7
lecture|3
investment|1
beej|1
applications|1
polling?|1
haseeyiat|2
misguided.it|1
preching|1
aganist|3
progamme|2
negating|1
prompter.he|1
national.sir|1
m|67
cheeela)|1
indias|3
purjosh|5
god,|2
shc|1
sahir).|1
show.please|3
office.|39
swat|1
4:40|1
heart!|25
transmitted|6
transgender,|2
sayings|1
shhzab|1
over-religiosity|1
manners.|3
1990s|1
now!!!|1
him.n.his|1
3)on|1
pledge|2
.im|4
pa|1
islam??|1
quraishi|6
profanity|1
compeign|1
artists|25
applicable.|1
athorities|1
yazidi.please|1
mujrah|3
guru|4
personnels,|1
under.|1
differ|2
telecasted|42
celebrations|1
(real??),|1
carriers|1
ignorant|19
jacket|1
pemre|1
crew|18
chanel|85
task.|2
topic:|1
silent|24
drammas.|1
vulgariy|1
tanzeem.|18
taseem|1
inquiry,|1
indians.|8
lanaguage.|1
kirmani,and|1
bullshits|2
onw|1
habitual|4
danger.|57
disturbing,|2
shows.other|1
flaw!|10
khalil-u-rehman.|1
encouragement|1
roomi.|1
.....we|2
singers|4
non-bearable|1
creating|598
template|1
legislating|1
hypocrisy....|1
employer|1
resurfaces|1
:(|5
relations,|1
channel),|1
so.|35
mongering.|1
dekhao|8
framework|6
ring|1
shcoler.|1
servant,|1
threats|10
outages|1
imposter|2
verdicts|1
suna|2
judgement,|1
disrespected|18
pepsi|7
firqas.|1
matter,|8
trailor|2
edited/deleted.|1
everyone.|6
influence.|9
programes|17
difficulties.|1
extensive|1
content...please|1
ur-rehman|1
requirement.|1
raped|18
soreading|1
jewry|1
loses|2
intention|6
ban.|70
carried|8
hasnt|6
leauqat|1
nawazs|1
favouritism|2
imedate|1
anckor|1
2014|2
guess|5
abobv|5
poulation|1
evening,|1
se..|2
interrior|1
kids??|1
tv.thanks|2
conform|3
comended|1
abstain|4
todo|27
remotely|1
addition,|4
((apka|1
70|4
adhan|2
#amir|1
dirty|62
khabarnaak.|2
(a.s)|2
scuffle.|1
destablize|1
politicians,|1
breach|10
mna.|1
mentality.his|1
website.|8
(on|29
married|17
poisoned|1
pakistaniand|1
self..|3
karachi)|2
tolertae|3
wwe|2
sameet|1
akhter|1
fasand|1
mouse|5
us|242
banbol|1
falsified|2
/or|1
mimicking|1
silent.|2
invole|3
contractor|1
lasting|1
ummate|1
souls|1
league...|1
threatfull|2
mashaallah|1
specialy|8
channale|1
yet|22
quote.|1
fellings|1
doctor.pmdc|27
authorties|3
education.this|2
plate|1
hesitate|4
family..sir|1
system.please|1
eye|25
lakhnau|3
whatsapps|1
organ|3
295c...|1
fine|381
deep|11
accomplices|1
volition|1
hona|3
harmony,|4
advertisements|276
adopting|3
mrs|1
khalil)|1
kafir|17
hyn)|1
photographer|1
exceed|1
fluid|9
.kokab|1
portions|1
rattin,|1
honoured|1
keen|5
forbiddin|1
(ismaili|1
shape|36
inwhich|1
faceless|3
unhain|2
arguments|13
rubbing|2
elders|5
commercial.|5
crime|114
261|1
voilate|4
liar.|2
guidelines|15
liabliaqat|1
immorality|77
260,|1
duaghters|1
complaint/protest|1
harming|7
culture?|3
disturbs|2
musharraf|3
hatching|1
everyone|127
treason..|1
activism|1
oraya|6
code.|8
onus|1
(civil|1
exhaustion|1
promoted,|2
investigatons....|1
late-night|1
harassed,|2
back.|12
professional|19
22.02.2017,|1
adds..|48
muslims.especially|1
speard|4
liaqat)|5
utilized|2
saif|2
lafzon|4
behudgi|2
wt|4
silence|30
non|199
fathers|28
creditablity|1
show.also|1
trained|7
circus|6
supposedly|1
relatedness|1
https://www.facebook.com/pakistanlove/videos/391327164578473/|1
sunday|8
shahzeb|50
taken|435
keh|1
mediate|1
patrotic|1
khudi|1
ov|1
dupatta|112
wrong!|1
crushed|3
pakistan..|29
promise.|1
liaqat(so|1
secularism..in|1
bait|7
hadis.|1
fressing|1
asked.|1
sir...|1
channel..this|3
spam|1
enure|1
wedding|27
thwir|1
(particularly|1
mouths.|1
,quran|4
ramadan!!!|1
taboo,|1
10:20|3
physical|23
publicising|2
different)|1
dangal|5
islamic/holistic|1
media...please|1
debater.|2
incorporating|1
pointed|4
.for|1
laiaquats|2
,is|1
enough.thanks|1
balantly|1
convincing|1
absolutely|47
discouraged.|5
wariat.|2
surgeon|1
reminds|1
shy|1
nov.|1
https://www.facebook.com/medialeakspk/videos/445079925908749/|2
stopd|1
fighting|49
arguing|3
clarify..|1
wednesday|3
sites|10
divulge|1
shayad|1
channels.because|14
loke|8
freez|1
advisor|1
developing|7
perusing|1
ages|4
exchange|4
jaans|3
barely|5
health,|1
compassion|1
review....and|1
denying|6
https://www.youtube.com/watch?v=1pebitabwh4|1
qasoor.|1
!!|8
whil|2
conyinously|2
190|1
bachi|3
tv-one|9
(specific|1
syfyan|1
meanings.|1
someone.|9
recruiting|1
knows|79
bol)|20
2006|27
as:|4
option.|16
stuffs|4
acid|1
insaan,|1
fetch|1
1:|2
diverse,|2
permenantly|6
energy|31
chappa|1
broadcast|108
letter,|2
mail|9
over-sexullized|1
md|3
well,|12
sexual|161
nowhere.|2
stars|32
unauthorise|4
culture,|45
manipulation|1
qatal|1
)24/05/2018)|1
see.|3
firqawara|1
beacause|1
batmeezi|1
show.amir|1
nows|1
misbehave|19
chalays|1
designing,|2
exceed.|1
ramadan?|1
(ra).|2
willfully|1
dete|1
kr|30
ahmadis.|4
nickelodeon|1
preserve|1
weapons,|1
by(|1
salaho|1
research....and|1
podium.we|1
abbasi|32
punjab.,|1
activits|1
allow|354
awful|4
fight|120
enticed|1
prerequisites|1
murderer|5
post|35
appropriately.|1
parmoting|2
nonsense...|1
court.aesey|1
marvels|4
natured|1
implications|1
hamid|66
hunger|1
convince|2
offender|1
45|2
se|18
can...|8
soceity.|1
ancor|1
lately|6
arydigital|2
stopped......|1
mindset|9
maulvi|5
non-tolerant|1
jaan.|2
on-air,|1
violation,|3
friend|9
afraid.|2
...kuch|2
ideals|2
air/publish|2
tashi|1
brailwi|1
false|860
networks|28
sapertaion|3
hates|25
much.|14
mochi|5
plot.|1
hosting/anchoring|1
accoutable|1
transgender.|3
ihk|9
bark|12
tear|56
biassed|2
cant.|2
ideal.|1
lectures|8
islqmic|1
recentel|1
ghazi,|2
unpleasant|2
flashes|1
mimimum|1
reduce|6
reptuable|1
tw|1
shopped|1
demoninationilism|1
jungle.|1
jurnalism|1
2330|1
amounting|1
appropriately....|1
word.|3
complaininng|2
newspaper|24
institute(comsats)|1
topics,|27
future.no|1
pleasetake|1
shows.plz|1
javed)|1
ramadaz|1
4gff6|1
phds|1
co-host|3
anccident|1
enitre|1
emotional,|1
nayik|2
disrespects|2
blame,so|1
destroy.|4
must|1484
workings|1
misinformation.|2
rapidly|1
mind.|35
/scarf|2
submitt|9
railed|1
seat.|1
courts.these|1
complains.|1
assissantions|1
that.i|1
laddo|1
alehadess|1
anticultural|3
firqas,|3
oput|1
expoliting|2
larkana|11
re-open|1
intolerance/violence|1
najamsathi|2
researched.|1
desperation|1
soldiers,|2
explicitly|7
1.amir|1
tip....|1
department.thanks|1
existant|1
phulleli|4
analysts|6
ad?|1
commit.|2
dsnce,|1
websites.|2
grizzly|2
shows!|2
irritates|12
asalamoalikum!|1
good|495
choice|7
imbalance|28
discomfort|4
marx|2
plaese|4
ture|1
conduct.|15
broadcasts.|1
operations.|1
anjam|1
confident|1
direction...|1
hollow|1
haram|20
psycho|2
30-oct-17|1
off|257
sindhis;|1
sunny|30
curbed|2
stunts.|6
reminder|4
punishments.|1
aggravate|1
adorned|1
pardoning|1
distracted|3
scolor|2
h...his|1
gaddarri|1
....whole|1
assisting|1
reaponsible|1
eastern|5
besides,|3
beyghairati.|2
ago|43
level!!!|1
chalae|2
barbad|1
parlours|1
fractious|1
given|266
children|327
composer),|1
comments.|16
@ptiofficial|1
celebrities/|4
wasif...|1
ratio|28
person...|2
critisizim.|1
clean,|1
consult|6
disasters|1
ulmaa|1
zindaabad|2
blurr|2
khnowledge|1
mzahabi|1
bursted|2
swap|1
visible|29
maulvis|2
presenter|4
concepts|12
kg|1
values.|168
confrontation|3
channels..pemra|1
https://tribune.com.pk/story/1443575/displaying-culture-gandhara-relics-exhibited-seoul/|1
paragraph.|1
nutral|1
abduction|4
badmouth|1
facebook.|7
proudly.|1
aehle|2
pre-notice,|1
regional.|2
free.|1
discussed.|6
26.1.2017|1
